email,password,fila,numero
cliente1@email.com,password1,A,1
cliente2@email.com,password2,A,2
cliente3@email.com,password3,A,3
cliente1@email.com,password1,A,4
cliente2@email.com,password2,A,5
cliente3@email.com,password3,A,6
cliente1@email.com,password1,A,7
cliente2@email.com,password2,A,8
cliente3@email.com,password3,A,9
cliente1@email.com,password1,A,10
cliente2@email.com,password2,A,11
cliente3@email.com,password3,A,12
cliente1@email.com,password1,A,13
cliente2@email.com,password2,A,14
cliente3@email.com,password3,A,15
cliente1@email.com,password1,A,16
cliente2@email.com,password2,A,17
cliente3@email.com,password3,A,18
cliente1@email.com,password1,A,19
cliente2@email.com,password2,A,20
cliente3@email.com,password3,B,1
cliente1@email.com,password1,B,2
cliente2@email.com,password2,B,3
cliente3@email.com,password3,B,4
cliente1@email.com,password1,B,5
cliente2@email.com,password2,B,6
cliente3@email.com,password3,B,7
cliente1@email.com,password1,B,8
cliente2@email.com,password2,B,9
cliente3@email.com,password3,B,10
cliente1@email.com,password1,B,11
cliente2@email.com,password2,B,12
cliente3@email.com,password3,B,13
cliente1@email.com,password1,B,14
cliente2@email.com,password2,B,15
cliente3@email.com,password3,B,16
cliente1@email.com,password1,B,17
cliente2@email.com,password2,B,18
cliente3@email.com,password3,B,19
cliente1@email.com,password1,B,20
cliente2@email.com,password2,C,1
cliente3@email.com,password3,C,2
cliente1@email.com,password1,C,3
cliente2@email.com,password2,C,4
cliente3@email.com,password3,C,5
cliente1@email.com,password1,C,6
cliente2@email.com,password2,C,7
cliente3@email.com,password3,C,8
cliente1@email.com,password1,C,9
cliente2@email.com,password2,C,10
cliente3@email.com,password3,C,11
cliente1@email.com,password1,C,12
cliente2@email.com,password2,C,13
cliente3@email.com,password3,C,14
cliente1@email.com,password1,C,15
cliente2@email.com,password2,C,16
cliente3@email.com,password3,C,17
cliente1@email.com,password1,C,18
cliente2@email.com,password2,C,19
cliente3@email.com,password3,C,20
cliente1@email.com,password1,D,1
cliente2@email.com,password2,D,2
cliente3@email.com,password3,D,3
cliente1@email.com,password1,D,4
cliente2@email.com,password2,D,5
cliente3@email.com,password3,D,6
cliente1@email.com,password1,D,7
cliente2@email.com,password2,D,8
cliente3@email.com,password3,D,9
cliente1@email.com,password1,D,10
cliente2@email.com,password2,D,11
cliente3@email.com,password3,D,12
cliente1@email.com,password1,D,13
cliente2@email.com,password2,D,14
cliente3@email.com,password3,D,15
cliente1@email.com,password1,D,16
cliente2@email.com,password2,D,17
cliente3@email.com,password3,D,18
cliente1@email.com,password1,D,19
cliente2@email.com,password2,D,20
cliente3@email.com,password3,E,1
cliente1@email.com,password1,E,2
cliente2@email.com,password2,E,3
cliente3@email.com,password3,E,4
cliente1@email.com,password1,E,5
cliente2@email.com,password2,E,6
cliente3@email.com,password3,E,7
cliente1@email.com,password1,E,8
cliente2@email.com,password2,E,9
cliente3@email.com,password3,E,10
cliente1@email.com,password1,E,11
cliente2@email.com,password2,E,12
cliente3@email.com,password3,E,13
cliente1@email.com,password1,E,14
cliente2@email.com,password2,E,15
cliente3@email.com,password3,E,16
cliente1@email.com,password1,E,17
cliente2@email.com,password2,E,18
cliente3@email.com,password3,E,19
cliente1@email.com,password1,E,20
cliente2@email.com,password2,F,1
cliente3@email.com,password3,F,2
cliente1@email.com,password1,F,3
cliente2@email.com,password2,F,4
cliente3@email.com,password3,F,5
cliente1@email.com,password1,F,6
cliente2@email.com,password2,F,7
